post_id,title,category,score,num_comments,author,collected_at
47750872,Servo is now available on crates.io,technology,135,37,ffin,2026-04-13 15:12:08
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,299,158,kiyanwang,2026-04-13 15:12:10
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,85,37,iamnothere,2026-04-13 15:12:11
47751032,"AI could be the end of the digital wave, not the next big thing",technology,134,165,surprisetalk,2026-04-13 15:12:15
47750259,Point Cloud Allemansrätten,technology,30,4,ColinWright,2026-04-13 15:12:16
47719490,I gave every train in New York an instrument,technology,342,68,joshuawolk,2026-04-13 15:12:16
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,131,89,JanSchu,2026-04-13 15:12:16
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,1042,379,littlecranky67,2026-04-13 15:12:17
47738978,"We have a 99% email reputation, but Gmail disagrees",technology,311,272,em-bee,2026-04-13 15:12:18
47747017,"Apple's accidental moat: How the ""AI Loser"" may end up winning",technology,329,286,walterbell,2026-04-13 15:12:18
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,155,70,dvaughan,2026-04-13 15:12:18
47733217,Exploiting the most prominent AI agent benchmarks,technology,552,134,Anon84,2026-04-13 15:12:19
47751265,Rockstar hackers set to release GTA 6 data breach as 'demands not met',technology,9,3,01-_-,2026-04-13 15:12:23
47749222,"Caffeine, cocaine, and painkillers detected in sharks from The Bahamas",technology,57,46,LostMyLogin,2026-04-13 15:12:24
47738864,Why AI Sucks at Front End,technology,95,130,tobr,2026-04-13 15:12:28
47743819,Basics of Radar Technology,technology,33,0,_Microft,2026-04-13 15:12:29
47741531,"Bouncer: Block ""crypto"", ""rage politics"", and more from your X feed using AI",technology,51,97,steveharing1,2026-04-13 15:12:31
47741889,Show HN: Claudraband – Claude Code for the Power User,technology,113,39,halfwhey,2026-04-13 15:12:31
47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,907,490,tradertef,2026-04-13 15:12:33
47752402,Mark Zuckerberg is reportedly building an AI clone to replace him in meetings,technology,36,47,temphaaa,2026-04-13 15:12:33
47745120,Tech valuations are back to pre-AI boom levels,technology,142,39,akyuu,2026-04-13 15:12:34
47743700,European AI. A playbook to own it,technology,192,119,hjouneau,2026-04-13 15:12:35
47752301,Booking.com warns customers of hack that exposed their data,technology,5,0,Brajeshwar,2026-04-13 15:12:36
47734878,High-Level Rust: Getting 80% of the Benefits with 20% of the Pain,technology,74,91,maxloh,2026-04-13 15:12:38
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,technology,490,264,vidluther,2026-04-13 15:12:39
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,433,274,neversaydie,2026-04-13 15:13:22
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,34,13,bookofjoe,2026-04-13 15:13:31
47745230,Sam Altman's home targeted in second attack,worldnews,136,303,babelfish,2026-04-13 15:13:34
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,284,135,jkl5xx,2026-04-13 15:13:46
47729994,Polymarket gamblers betting millions on war,worldnews,158,126,sandebert,2026-04-13 15:14:25
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-13 15:14:30
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-13 15:14:35
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,119,37,radeeyate,2026-04-13 15:14:59
47749295,Show HN: Equirect – a Rust VR video player,sports,6,0,greggman65,2026-04-13 15:15:01
